2016-05-10 11:28:48 status half-installed libwrap0:amd64 7.6.q-25
2016-05-10 11:28:48 status unpacked libwrap0:amd64 7.6.q-25
2016-05-10 11:28:48 status unpacked libwrap0:amd64 7.6.q-25
2016-05-10 11:28:48 install libxml2:amd64 <none> 2.9.1+dfsg1-5+deb8u1
2016-05-10 11:28:48 status half-installed libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-05-10 11:28:48 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-05-10 11:28:48 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u1
2016-05-10 11:28:49 install perl-modules:all <none> 5.20.2-3+deb8u4
2016-05-10 11:28:49 status half-installed perl-modules:all 5.20.2-3+deb8u4
2016-05-10 11:28:49 status unpacked perl-modules:all 5.20.2-3+deb8u4
2016-05-10 11:28:49 status unpacked perl-modules:all 5.20.2-3+deb8u4
2016-05-10 11:28:49 install perl:amd64 <none> 5.20.2-3+deb8u4
2016-05-10 11:28:49 status half-installed perl:amd64 5.20.2-3+deb8u4
2016-05-10 11:28:50 status unpacked perl:amd64 5.20.2-3+deb8u4
2016-05-10 11:28:50 status unpacked perl:amd64 5.20.2-3+deb8u4
2016-05-10 11:28:50 install mime-support:all <none> 3.58
2016-05-10 11:28:50 status half-installed mime-support:all 3.58
2016-05-10 11:28:50 status unpacked mime-support:all 3.58
2016-05-10 11:28:50 status unpacked mime-support:all 3.58
2016-05-10 11:28:50 install libapr1:amd64 <none> 1.5.1-3
2016-05-10 11:28:50 status half-installed libapr1:amd64 1.5.1-3
2016-05-10 11:28:50 status unpacked libapr1:amd64 1.5.1-3
2016-05-10 11:28:50 status unpacked libapr1:amd64 1.5.1-3
2016-05-10 11:28:50 install libexpat1:amd64 <none> 2.1.0-6+deb8u1
2016-05-10 11:28:50 status half-installed libexpat1:amd64 2.1.0-6+deb8u1
2016-05-10 11:28:51 status unpacked libexpat1:amd64 2.1.0-6+deb8u1
2016-05-10 11:28:51 status unpacked libexpat1:amd64 2.1.0-6+deb8u1
2016-05-10 11:28:51 install libaprutil1:amd64 <none> 1.5.4-1
2016-05-10 11:28:51 status half-installed libaprutil1:amd64 1.5.4-1
2016-05-10 11:28:51 status unpacked libaprutil1:amd64 1.5.4-1
2016-05-10 11:28:51 status unpacked libaprutil1:amd64 1.5.4-1
2016-05-10 11:28:51 install libaprutil1-dbd-sqlite3:amd64 <none> 1.5.4-1
2016-05-10 11:28:51 status half-installed libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2016-05-10 11:28:51 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2016-05-10 11:28:51 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.4-1
2016-05-10 11:28:51 install libaprutil1-ldap:amd64 <none> 1.5.4-1
2016-05-10 11:28:51 status half-installed libaprutil1-ldap:amd64 1.5.4-1
2016-05-10 11:28:51 status unpacked libaprutil1-ldap:amd64 1.5.4-1
2016-05-10 11:28:51 status unpacked libaprutil1-ldap:amd64 1.5.4-1
2016-05-10 11:28:51 install liblua5.1-0:amd64 <none> 5.1.5-7.1
2016-05-10 11:28:51 status half-installed liblua5.1-0:amd64 5.1.5-7.1
2016-05-10 11:28:51 status unpacked liblua5.1-0:amd64 5.1.5-7.1
2016-05-10 11:28:51 status unpacked liblua5.1-0:amd64 5.1.5-7.1
2016-05-10 11:28:51 install apache2-bin:amd64 <none> 2.4.10-10+deb8u4
2016-05-10 11:28:51 status half-installed apache2-bin:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:52 status unpacked apache2-bin:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:52 status unpacked apache2-bin:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:52 install apache2-utils:amd64 <none> 2.4.10-10+deb8u4
2016-05-10 11:28:52 status half-installed apache2-utils:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:52 status unpacked apache2-utils:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:52 status unpacked apache2-utils:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:52 install apache2-data:all <none> 2.4.10-10+deb8u4
2016-05-10 11:28:52 status half-installed apache2-data:all 2.4.10-10+deb8u4
2016-05-10 11:28:52 status unpacked apache2-data:all 2.4.10-10+deb8u4
2016-05-10 11:28:52 status unpacked apache2-data:all 2.4.10-10+deb8u4
2016-05-10 11:28:52 install apache2:amd64 <none> 2.4.10-10+deb8u4
2016-05-10 11:28:52 status half-installed apache2:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:52 status triggers-pending systemd:amd64 215-17+deb8u4
2016-05-10 11:28:52 status unpacked apache2:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:52 status unpacked apache2:amd64 2.4.10-10+deb8u4
2016-05-10 11:28:53 install libaio1:amd64 <none> 0.3.110-1
2016-05-10 11:28:53 status half-installed libaio1:amd64 0.3.110-1
2016-05-10 11:28:53 status unpacked libaio1:amd64 0.3.110-1
2016-05-10 11:28:53 status unpacked libaio1:amd64 0.3.110-1
2016-05-10 11:28:53 install mysql-common:all <none> 5.5.49-0+deb8u1
2016-05-10 11:28:53 status half-installed mysql-common:all 5.5.49-0+deb8u1
